sensor,sensor_id,timestamp,temp_int,umid_int,umid_ext,temp_ext,localizacao,camara,analog
ESP32-PI,,26/02/2025 11:22:20,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:22:23,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:22:27,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:22:31,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:22:33,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:22:36,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:22:37,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:22:40,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:22:44,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:22:47,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:22:49,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:22:52,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:22:57,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:23:01,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:23:04,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:23:06,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:23:08,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:23:11,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:23:13,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:23:15,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:23:18,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:23:21,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:23:24,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:23:26,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:23:31,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:23:31,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:23:33,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:23:35,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:23:38,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:23:41,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:23:43,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:23:46,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:23:48,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:23:50,137.4,78.8,78.8,78.8,,0,0
ESP32-PI,,26/02/2025 11:23:53,124.8,53.9,53.9,53.9,,0,0
ESP32-PI,,26/02/2025 11:23:55,124.8,53.9,53.9,53.9,,0,0
ESP32-PI,,26/02/2025 11:23:59,124.8,53.9,53.9,53.9,,0,0
ESP32-PI,,26/02/2025 11:24:06,124.8,53.9,53.9,53.9,,0,0
ESP32-PI,,26/02/2025 11:24:08,124.8,53.9,53.9,53.9,,0,0
ESP32-PI,,26/02/2025 11:24:11,124.8,53.9,53.9,53.9,,0,0
ESP32-PI,,26/02/2025 11:24:13,124.8,53.9,53.9,53.9,,0,0
ESP32-PI,,26/02/2025 11:24:15,124.8,53.9,53.9,53.9,,0,0
ESP32-PI,,26/02/2025 11:24:17,124.8,53.9,53.9,53.9,,0,0
ESP32-PI,,26/02/2025 11:24:20,124.8,53.9,53.9,53.9,,0,0
ESP32-PI,,26/02/2025 11:24:22,124.8,53.9,53.9,53.9,,0,0
ESP32-PI,,26/02/2025 11:24:25,124.8,53.9,53.9,53.9,,0,0
